,created_at, Monitor ID, Location ID, SO2(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
143,2021-10-23 14:07:00,1,1,0.3,0.0,0.0,11.632,51.263,37.437,27.729,956.202
144,2021-10-23 14:08:00,1,1,0.2,0.0,0.0,13.0,57.947,37.645,26.836,956.23
145,2021-10-23 14:09:00,1,1,0.3,0.0,0.0,16.474,71.158,37.779,26.549,956.217
146,2021-10-23 14:10:00,1,1,0.2,0.0,0.0,19.895,80.579,38.056,26.716,956.227
147,2021-10-23 14:11:00,1,1,0.2,0.0,0.0,23.263,98.895,38.436,26.418,956.203
148,2021-10-23 14:12:00,1,1,0.2,0.0,0.0,26.222,100.944,38.812,26.04,956.232
149,2021-10-23 14:13:00,1,1,0.2,0.0,0.0,24.5,86.556,39.056,24.685,956.256
150,2021-10-23 14:14:00,1,1,0.2,0.0,0.0,24.556,90.778,39.179,24.557,956.146
151,2021-10-23 14:15:00,1,1,0.2,0.0,0.0,19.312,74.688,39.148,24.608,956.151
152,2021-10-23 14:16:00,1,1,0.2,0.0,0.0,16.944,67.444,38.676,25.754,956.164
153,2021-10-23 14:17:00,1,1,0.5,0.0,0.0,17.421,70.053,38.491,25.881,956.079
154,2021-10-23 14:18:00,1,1,1.2,0.0,0.0,16.941,65.882,38.346,25.631,955.995
155,2021-10-23 14:19:00,1,1,1.2,0.0,0.0,17.056,71.611,38.629,25.388,956.087
156,2021-10-23 14:20:00,1,1,0.8,0.0,0.0,20.632,80.0,38.882,24.899,955.973
157,2021-10-23 14:21:00,1,1,0.6,0.0,0.0,24.5,94.5,39.113,25.029,955.851
158,2021-10-23 14:22:00,1,1,0.3,0.0,0.0,40.105,130.105,39.278,24.921,955.792
159,2021-10-23 14:23:00,1,1,0.6,0.0,0.0,49.222,148.222,39.315,24.655,955.697
160,2021-10-23 14:24:00,1,1,0.4,0.0,0.0,47.222,139.722,39.322,24.809,955.593
161,2021-10-23 14:25:00,1,1,0.3,0.0,0.0,36.316,116.211,39.449,24.682,955.511
162,2021-10-23 14:26:00,1,1,0.1,0.0,0.0,28.579,97.158,39.461,24.53,955.477
163,2021-10-23 14:27:00,1,1,0.0,0.0,0.0,23.941,89.588,39.442,25.397,955.755
164,2021-10-23 14:28:00,1,1,0.3,0.0,0.0,21.947,80.421,38.859,25.836,955.887
165,2021-10-23 14:29:00,1,1,0.3,0.0,0.0,22.529,83.941,38.433,25.773,955.844
166,2021-10-23 14:30:00,1,1,0.0,0.0,0.0,21.722,78.389,38.484,25.64,955.808
167,2021-10-23 14:31:00,1,1,0.0,0.0,0.0,21.526,86.526,38.964,25.203,955.753
168,2021-10-23 14:32:00,1,1,0.0,0.0,0.0,20.556,82.778,39.467,24.437,955.74
169,2021-10-23 14:33:00,1,1,0.1,0.0,0.0,25.389,94.056,39.533,24.094,955.678
170,2021-10-23 14:34:00,1,1,0.1,0.0,0.0,21.5,76.5,38.573,25.39,955.431
171,2021-10-23 14:35:00,1,1,0.2,0.0,0.0,19.263,75.632,38.399,26.115,955.356
172,2021-10-23 14:36:00,1,1,0.1,0.0,0.0,21.889,81.667,38.343,26.359,955.23
