,Date Time, NO2(ppm),data.temp_c,data.hum_prcnt,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.batt_prcnt,data.location.lat,data.location.lon,data.no2_ppb_shift
158,2021-08-19 13:59:00,0.078,31.97,48.487,674.5,2321.0,2390.5,1150.0,75.5,77.0,17.49,78.408,2208.5
159,2021-08-19 14:00:00,0.046,32.14,48.323,680.5,2439.0,2412.5,1179.0,74.0,77.0,17.488,78.41,2224.5
160,2021-08-19 14:01:00,0.05,32.3,48.146,659.0,2317.5,2347.0,1153.0,71.5,77.0,17.485,78.412,2228.5
161,2021-08-19 14:02:00,0.046,32.38,47.577,671.5,2464.0,2380.5,1192.0,74.0,77.0,17.482,78.416,2285.0
162,2021-08-19 14:03:00,0.065,32.36,47.648,584.5,2460.5,2141.0,1185.0,56.0,77.0,17.478,78.42,2244.5
163,2021-08-19 14:04:00,0.038,32.265,47.766,637.0,2446.0,2279.0,1182.5,75.5,76.5,17.476,78.423,2267.5
164,2021-08-19 14:05:00,0.027999999999999997,32.28,48.011,647.0,2550.0,2315.0,1218.0,84.0,76.0,17.474,78.425,2298.0
165,2021-08-19 14:06:00,0.027999999999999997,32.4,48.235,571.5,2383.5,2100.5,1171.0,75.0,76.0,17.474,78.425,2078.0
166,2021-08-19 14:07:00,0.019,32.655,47.891,521.0,2210.5,1958.5,1119.5,76.5,76.0,17.474,78.425,2099.5
167,2021-08-19 14:08:00,0.023,32.955,47.491,532.5,2267.5,1997.5,1133.5,69.0,76.0,17.474,78.425,2115.5
168,2021-08-19 14:09:00,0.03,33.245,46.968,521.5,2213.5,1963.0,1122.0,60.5,76.0,17.474,78.425,2090.5
169,2021-08-19 14:10:00,0.024,33.43,46.51,529.0,2210.0,1991.0,1122.0,59.0,76.0,17.474,78.425,1963.5
183,2021-08-19 14:24:00,0.040999999999999995,32.81,46.655,631.0,2303.0,2274.0,1144.0,79.0,76.0,17.491,78.407,1950.0
184,2021-08-19 14:25:00,0.04,32.625,46.752,646.5,2339.0,2309.5,1155.0,66.5,75.5,17.492,78.404,2031.5
185,2021-08-19 14:26:00,0.037000000000000005,32.325,46.927,555.5,2240.5,2058.0,1125.5,54.0,75.0,17.491,78.401,2057.0
186,2021-08-19 14:27:00,0.04,31.97,47.771,547.5,2160.0,2036.0,1106.0,63.5,75.0,17.487,78.4,2067.0
187,2021-08-19 14:28:00,0.042,31.715,48.94,538.0,2131.5,2008.5,1091.5,56.0,75.0,17.484,78.397,2099.5
188,2021-08-19 14:29:00,0.038,31.415,49.58,553.0,2167.5,2051.5,1107.5,72.5,75.0,17.481,78.394,2112.0
189,2021-08-19 14:30:00,0.046,31.165,50.128,532.0,2085.0,1990.5,1083.0,66.5,75.0,17.475,78.395,2012.0
190,2021-08-19 14:31:00,0.062,30.935,50.956,572.5,2296.0,2103.0,1140.0,56.0,75.0,17.471,78.392,2189.0
191,2021-08-19 14:32:00,0.077,30.745,51.122,556.5,2114.0,2057.5,1091.0,68.5,75.0,17.468,78.394,2035.5
192,2021-08-19 14:33:00,0.055,30.625,52.04,554.0,2010.5,2058.0,1063.0,59.5,75.0,17.47,78.389,2151.5
193,2021-08-19 14:34:00,0.044000000000000004,30.52,52.064,519.0,1972.5,1954.0,1054.5,72.0,75.0,17.472,78.386,2081.5
194,2021-08-19 14:35:00,0.053,30.56,51.766,522.5,1956.5,1965.5,1054.5,69.5,75.0,17.474,78.383,1996.0
195,2021-08-19 14:36:00,0.052000000000000005,30.59,51.546,548.0,2039.0,2027.0,1069.0,69.0,75.0,17.473,78.382,2154.5
196,2021-08-19 14:37:00,0.051,30.525,51.562,507.5,1923.0,1921.5,1033.5,64.5,75.0,17.469,78.385,2146.0
197,2021-08-19 14:38:00,0.051,30.365,51.805,537.0,1996.0,2010.0,1065.0,73.0,75.0,17.464,78.386,2062.0
198,2021-08-19 14:39:00,0.033,30.38,51.933,510.0,1924.5,1930.5,1040.0,61.0,75.0,17.462,78.39,2100.0
199,2021-08-19 14:40:00,0.065,30.385,52.085,510.0,1949.5,1930.0,1045.0,70.5,74.5,17.459,78.396,1946.0
200,2021-08-19 14:41:00,0.063,30.37,52.252,496.5,1905.0,1893.5,1037.5,81.0,74.5,17.455,78.397,1967.5
201,2021-08-19 14:42:00,0.057999999999999996,30.48,51.92,567.5,2067.5,2089.0,1076.5,70.5,74.5,17.453,78.397,1981.5
202,2021-08-19 14:43:00,0.061,30.735,51.744,632.5,2303.0,2272.5,1143.0,75.5,74.0,17.452,78.395,1925.0
203,2021-08-19 14:44:00,0.233,30.965,51.207,594.0,2222.5,2163.5,1124.0,74.5,75.0,17.452,78.39,2328.0
204,2021-08-19 14:45:00,0.05,31.095,51.095,575.5,2125.0,2112.5,1092.0,79.0,74.0,17.453,78.385,1994.5
205,2021-08-19 14:46:00,0.036000000000000004,31.165,50.267,561.0,2103.0,2065.0,1086.0,72.0,74.0,17.453,78.383,2071.0
206,2021-08-19 14:47:00,0.031,31.335,49.226,536.5,2051.5,2007.5,1078.5,66.5,74.0,17.455,78.384,2103.5
