Epoch date,GMT,Battery_percentage,CO_mega
1624353659,22-06-2021 09:20,100,539
1624353690,22-06-2021 09:21,100,538
1624353753,22-06-2021 09:22,100,536
1624353851,22-06-2021 09:24,100,538
1624354044,22-06-2021 09:27,100,539
1624354700,22-06-2021 09:38,100,539
1624355319,22-06-2021 09:48,100,537
1624356445,22-06-2021 10:07,100,541
1624357735,22-06-2021 10:28,100,546
1624358190,22-06-2021 10:36,99,545
1624358638,22-06-2021 10:43,98,548
1624359080,22-06-2021 10:51,97,544
1624359355,22-06-2021 10:55,96,542
1624360102,22-06-2021 11:08,95,546
1624360313,22-06-2021 11:11,95,545
1624360547,22-06-2021 11:15,94,549
1624360759,22-06-2021 11:19,93,551
1624360929,22-06-2021 11:22,93,548
1624361110,22-06-2021 11:25,93,544
1624361375,22-06-2021 11:29,93,544
1624361771,22-06-2021 11:36,93,543
1624362959,22-06-2021 11:55,92,545
1624363678,22-06-2021 12:07,92,546
1624364045,22-06-2021 12:14,91,548
1624364453,22-06-2021 12:20,91,549
1624364845,22-06-2021 12:27,91,552
1624365304,22-06-2021 12:35,91,553
1624365832,22-06-2021 12:43,91,554
1624366497,22-06-2021 12:54,90,559
1624367117,22-06-2021 13:05,90,561
1624367383,22-06-2021 13:09,90,561
1624367450,22-06-2021 13:10,90,562
1624368137,22-06-2021 13:22,90,562
1624368565,22-06-2021 13:29,89,567
1624368964,22-06-2021 13:36,89,566
1624369293,22-06-2021 13:41,89,566
1624369854,22-06-2021 13:50,88,569
1624370459,22-06-2021 14:00,88,569
1624371173,22-06-2021 14:12,87,571
1624371730,22-06-2021 14:22,86,572
1624372075,22-06-2021 14:27,85,572
1624372498,22-06-2021 14:34,85,573
1624372875,22-06-2021 14:41,85,573
1624373211,22-06-2021 14:46,84,575
1624373613,22-06-2021 14:53,84,574
1624375159,22-06-2021 15:19,82,577
1624375196,22-06-2021 15:19,82,578
1624375522,22-06-2021 15:25,81,577
1624375525,22-06-2021 15:25,81,577
1624375919,22-06-2021 15:31,81,579
1624376284,22-06-2021 15:38,81,580
1624376647,22-06-2021 15:44,81,579
1624376965,22-06-2021 15:49,80,581
1624377667,22-06-2021 16:01,79,582
1624378075,22-06-2021 16:07,79,582
1624378490,22-06-2021 16:14,79,585
1624378885,22-06-2021 16:21,78,584
1624379298,22-06-2021 16:28,78,586
1624379743,22-06-2021 16:35,78,587
1624380240,22-06-2021 16:44,77,588
1624380768,22-06-2021 16:52,77,589
1624381361,22-06-2021 17:02,76,591
1624381754,22-06-2021 17:09,75,591
1624382143,22-06-2021 17:15,75,591
1624382548,22-06-2021 17:22,75,591
1624382880,22-06-2021 17:28,74,593
1624383208,22-06-2021 17:33,74,591
1624383703,22-06-2021 17:41,73,592
1624384095,22-06-2021 17:48,73,593
1624384497,22-06-2021 17:54,73,592
1624384872,22-06-2021 18:01,72,593
1624385249,22-06-2021 18:07,72,592
1624385651,22-06-2021 18:14,71,594
1624386040,22-06-2021 18:20,71,593
1624387149,22-06-2021 18:39,69,594
1624387635,22-06-2021 18:47,68,593
1624388060,22-06-2021 18:54,67,593
1624388453,22-06-2021 19:00,67,594
1624388749,22-06-2021 19:05,66,593
1624388780,22-06-2021 19:06,66,594
1624388783,22-06-2021 19:06,66,594
1624388822,22-06-2021 19:07,66,593
1624388825,22-06-2021 19:07,66,592
1624388916,22-06-2021 19:08,66,594
1624389074,22-06-2021 19:11,66,592
1624389473,22-06-2021 19:17,65,593
1624389868,22-06-2021 19:24,65,593
1624390396,22-06-2021 19:33,64,589
1624390905,22-06-2021 19:41,64,588
1624391581,22-06-2021 19:53,63,587
1624392140,22-06-2021 20:02,62,584
1624392671,22-06-2021 20:11,62,584
1624392676,22-06-2021 20:11,62,584
1624393069,22-06-2021 20:17,61,580
1624393462,22-06-2021 20:24,61,578
1624393465,22-06-2021 20:24,61,578
1624393891,22-06-2021 20:31,60,573
1624393896,22-06-2021 20:31,60,573
1624394263,22-06-2021 20:37,60,576
1624394641,22-06-2021 20:44,59,574
1624395042,22-06-2021 20:50,59,574
1624395400,22-06-2021 20:56,59,573
1624396100,22-06-2021 21:08,58,572
1624396711,22-06-2021 21:18,57,570
1624397263,22-06-2021 21:27,57,572
1624397680,22-06-2021 21:34,57,569
1624398030,22-06-2021 21:40,56,566
1624398574,22-06-2021 21:49,56,564
1624399027,22-06-2021 21:57,55,566
1624399469,22-06-2021 22:04,55,563
1624400057,22-06-2021 22:14,54,564
1624400515,22-06-2021 22:21,54,559
1624401055,22-06-2021 22:30,54,558
1624401474,22-06-2021 22:37,54,559
1624401672,22-06-2021 22:41,54,555
1624401987,22-06-2021 22:46,53,554
1624402362,22-06-2021 22:52,53,554
1624402365,22-06-2021 22:52,53,554
1624402718,22-06-2021 22:58,53,552
1624403417,22-06-2021 23:10,52,550
1624403424,22-06-2021 23:10,52,550
1624403948,22-06-2021 23:19,52,551
1624404508,22-06-2021 23:28,52,549
1624405058,22-06-2021 23:37,51,546
1624405629,22-06-2021 23:47,50,547
1624407543,23-06-2021 00:19,49,542
1624408198,23-06-2021 00:29,48,543
1624408729,23-06-2021 00:38,47,543
1624409253,23-06-2021 00:47,47,542
1624409594,23-06-2021 00:53,46,543
1624409625,23-06-2021 00:53,46,543
1624409693,23-06-2021 00:54,46,539
1624409776,23-06-2021 00:56,46,540
1624410156,23-06-2021 01:02,45,541
1624410790,23-06-2021 01:13,45,538
1624411183,23-06-2021 01:19,44,540
1624411533,23-06-2021 01:25,43,540
1624412058,23-06-2021 01:34,43,538
1624412396,23-06-2021 01:39,42,539
1624412751,23-06-2021 01:45,42,539
1624413136,23-06-2021 01:52,41,539
1624413514,23-06-2021 01:58,40,537
1624413902,23-06-2021 02:05,40,539
1624414468,23-06-2021 02:14,39,542
1624415134,23-06-2021 02:25,38,544
1624415749,23-06-2021 02:35,37,546
1624416129,23-06-2021 02:42,37,544
1624416507,23-06-2021 02:48,37,545
1624416931,23-06-2021 02:55,36,544
1624417299,23-06-2021 03:01,36,544
1624417664,23-06-2021 03:07,35,544
1624418156,23-06-2021 03:15,35,545
1624418651,23-06-2021 03:24,33,544
1624419254,23-06-2021 03:34,32,546
1624419672,23-06-2021 03:41,30,546
1624419678,23-06-2021 03:41,30,546
1624420005,23-06-2021 03:46,29,543
1624420365,23-06-2021 03:52,28,538
1624420369,23-06-2021 03:52,28,538
1624420720,23-06-2021 03:58,27,534
1624420723,23-06-2021 03:58,27,534
1624421051,23-06-2021 04:04,25,529
1624421057,23-06-2021 04:04,25,529
1624421464,23-06-2021 04:11,23,518
1624422177,23-06-2021 04:22,20,503
1624422670,23-06-2021 04:31,17,490
1624422677,23-06-2021 04:31,17,490
1624423144,23-06-2021 04:39,15,477
1624423147,23-06-2021 04:39,15,477
1624423880,23-06-2021 04:51,11,463
1624424046,23-06-2021 04:54,10,460
1624424471,23-06-2021 05:01,8,450
1624424958,23-06-2021 05:09,4,439
1624424961,23-06-2021 05:09,4,439
1624425342,23-06-2021 05:15,1,429
1624425347,23-06-2021 05:15,1,429
1624425524,23-06-2021 05:18,0,422
1624425526,23-06-2021 05:18,0,422
1624425735,23-06-2021 05:22,0,412
1624425738,23-06-2021 05:22,0,412
1624426160,23-06-2021 05:29,0,491
1624426165,23-06-2021 05:29,0,491
1624435621,23-06-2021 08:07,20,454
1624435653,23-06-2021 08:07,21,449
1624435684,23-06-2021 08:08,22,460
1624435715,23-06-2021 08:08,23,464
1624435746,23-06-2021 08:09,25,468
1624435777,23-06-2021 08:09,27,472
1624435808,23-06-2021 08:10,29,477
1624435839,23-06-2021 08:10,31,482
1624435870,23-06-2021 08:11,33,483
