Epoch date,GMT,Battery_percentage,NO2_ppb_megasense
1624348156,22-06-2021 07:49,100,2753
1624348634,22-06-2021 07:57,100,2742
1624349090,22-06-2021 08:04,100,2732
1624349716,22-06-2021 08:15,100,2710
1624350125,22-06-2021 08:22,100,2689
1624350489,22-06-2021 08:28,100,2671
1624350892,22-06-2021 08:34,100,2653
1624351201,22-06-2021 08:40,100,2635
1624351501,22-06-2021 08:45,100,2607
1624353659,22-06-2021 09:20,100,2414
1624353690,22-06-2021 09:21,100,2421
1624353753,22-06-2021 09:22,100,2428
1624353851,22-06-2021 09:24,100,2450
1624354044,22-06-2021 09:27,100,2435
1624354700,22-06-2021 09:38,100,2435
1624355319,22-06-2021 09:48,100,2407
1624356445,22-06-2021 10:07,100,2367
1624357735,22-06-2021 10:28,100,2417
1624358190,22-06-2021 10:36,99,2410
1624358638,22-06-2021 10:43,98,2439
1624359080,22-06-2021 10:51,97,2417
1624359355,22-06-2021 10:55,96,2353
1624360102,22-06-2021 11:08,95,2375
1624360313,22-06-2021 11:11,95,2364
1624360547,22-06-2021 11:15,94,2414
1624360759,22-06-2021 11:19,93,2435
1624360929,22-06-2021 11:22,93,2425
1624361110,22-06-2021 11:25,93,2403
1624361375,22-06-2021 11:29,93,2403
1624361771,22-06-2021 11:36,93,2407
1624362959,22-06-2021 11:55,92,2400
1624363678,22-06-2021 12:07,92,2407
1624364045,22-06-2021 12:14,91,2435
1624364453,22-06-2021 12:20,91,2439
1624364845,22-06-2021 12:27,91,2460
1624365304,22-06-2021 12:35,91,2471
1624365832,22-06-2021 12:43,91,2475
1624366497,22-06-2021 12:54,90,2500
1624367117,22-06-2021 13:05,90,2517
1624367383,22-06-2021 13:09,90,2500
1624367450,22-06-2021 13:10,90,2514
1624368137,22-06-2021 13:22,90,2521
1624368565,22-06-2021 13:29,89,2514
1624368964,22-06-2021 13:36,89,2528
1624369293,22-06-2021 13:41,89,2525
1624369854,22-06-2021 13:50,88,2517
1624370459,22-06-2021 14:00,88,2532
1624371173,22-06-2021 14:12,87,2550
1624371730,22-06-2021 14:22,86,2539
1624372075,22-06-2021 14:27,85,2535
1624372498,22-06-2021 14:34,85,2550
1624372875,22-06-2021 14:41,85,2567
1624373211,22-06-2021 14:46,84,2546
1624373613,22-06-2021 14:53,84,2542
1624375159,22-06-2021 15:19,82,2553
1624375196,22-06-2021 15:19,82,2567
1624375522,22-06-2021 15:25,81,2553
1624375525,22-06-2021 15:25,81,2553
1624375919,22-06-2021 15:31,81,2567
1624376284,22-06-2021 15:38,81,2553
1624376647,22-06-2021 15:44,81,2592
1624376965,22-06-2021 15:49,80,2564
1624377667,22-06-2021 16:01,79,2585
1624378075,22-06-2021 16:07,79,2578
1624378490,22-06-2021 16:14,79,2582
1624378885,22-06-2021 16:21,78,2589
1624379298,22-06-2021 16:28,78,2596
1624379743,22-06-2021 16:35,78,2571
1624380240,22-06-2021 16:44,77,2592
1624380768,22-06-2021 16:52,77,2592
1624381361,22-06-2021 17:02,76,2589
1624381754,22-06-2021 17:09,75,2603
1624382143,22-06-2021 17:15,75,2596
1624382548,22-06-2021 17:22,75,2610
1624382880,22-06-2021 17:28,74,2621
1624383208,22-06-2021 17:33,74,2610
1624383703,22-06-2021 17:41,73,2607
1624384095,22-06-2021 17:48,73,2610
1624384497,22-06-2021 17:54,73,2621
1624384872,22-06-2021 18:01,72,2596
1624385249,22-06-2021 18:07,72,2603
1624385651,22-06-2021 18:14,71,2610
1624386040,22-06-2021 18:20,71,2639
1624387149,22-06-2021 18:39,69,2628
1624387635,22-06-2021 18:47,68,2617
1624388060,22-06-2021 18:54,67,2614
1624388453,22-06-2021 19:00,67,2632
1624388749,22-06-2021 19:05,66,2625
1624388780,22-06-2021 19:06,66,2632
1624388783,22-06-2021 19:06,66,2632
1624388822,22-06-2021 19:07,66,2621
1624388825,22-06-2021 19:07,66,2632
1624388916,22-06-2021 19:08,66,2639
1624389074,22-06-2021 19:11,66,2628
1624389473,22-06-2021 19:17,65,2635
1624389868,22-06-2021 19:24,65,2628
1624390396,22-06-2021 19:33,64,2625
1624390905,22-06-2021 19:41,64,2642
1624391581,22-06-2021 19:53,63,2610
1624392140,22-06-2021 20:02,62,2617
1624392671,22-06-2021 20:11,62,2625
1624392676,22-06-2021 20:11,62,2625
1624393069,22-06-2021 20:17,61,2614
1624393462,22-06-2021 20:24,61,2617
1624393465,22-06-2021 20:24,61,2617
1624393891,22-06-2021 20:31,60,2607
1624393896,22-06-2021 20:31,60,2607
1624394263,22-06-2021 20:37,60,2603
1624394641,22-06-2021 20:44,59,2603
1624395042,22-06-2021 20:50,59,2600
1624395400,22-06-2021 20:56,59,2592
1624396100,22-06-2021 21:08,58,2589
1624396711,22-06-2021 21:18,57,2592
1624397263,22-06-2021 21:27,57,2589
1624397680,22-06-2021 21:34,57,2596
1624398030,22-06-2021 21:40,56,2596
1624398574,22-06-2021 21:49,56,2592
1624399027,22-06-2021 21:57,55,2585
1624399469,22-06-2021 22:04,55,2575
1624400057,22-06-2021 22:14,54,2567
