Epoch date,GMT,NO2_ppb_megasense
1624003091,18-06-2021 07:58,4257
1624003153,18-06-2021 07:59,3067
1624077887,19-06-2021 04:44,2285
1624077918,19-06-2021 04:45,2257
1624077949,19-06-2021 04:45,2253
1624077981,19-06-2021 04:46,2250
1624078036,19-06-2021 04:47,2221
1624078107,19-06-2021 04:48,2200
1624078198,19-06-2021 04:49,2189
1624078489,19-06-2021 04:54,2060
1624078841,19-06-2021 05:00,1978
1624079242,19-06-2021 05:07,1964
1624079858,19-06-2021 05:17,1842
1624080151,19-06-2021 05:22,1800
1624080151,19-06-2021 05:22,1800
1624080182,19-06-2021 05:23,1785
1624080251,19-06-2021 05:24,1785
1624080495,19-06-2021 05:28,1735
1624080894,19-06-2021 05:34,1617
1624081145,19-06-2021 05:39,1567
1624081527,19-06-2021 05:45,1428
1624082089,19-06-2021 05:54,2564
1624082120,19-06-2021 05:55,2560
1624082490,19-06-2021 06:01,2475
1624082777,19-06-2021 06:06,2464
1624083114,19-06-2021 06:11,2585
1624083437,19-06-2021 06:17,2689
1624083738,19-06-2021 06:22,2689
1624084352,19-06-2021 06:32,2685
1624084805,19-06-2021 06:40,2689
1624085168,19-06-2021 06:46,2675
1624085621,19-06-2021 06:53,2707
1624085977,19-06-2021 06:59,2700
1624086363,19-06-2021 07:06,2728
1624086773,19-06-2021 07:12,2732
1624087383,19-06-2021 07:23,2739
1624088219,19-06-2021 07:36,2732
1624088634,19-06-2021 07:43,2728
1624088732,19-06-2021 07:45,2721
1624088809,19-06-2021 07:46,2714
1624089140,19-06-2021 07:52,2742
1624089487,19-06-2021 07:58,2746
1624089846,19-06-2021 08:04,2771
1624090146,19-06-2021 08:09,2764
1624090490,19-06-2021 08:14,2767
1624090956,19-06-2021 08:22,2785
1624091338,19-06-2021 08:28,2753
1624091746,19-06-2021 08:35,2735
1624092134,19-06-2021 08:42,2707
1624092347,19-06-2021 08:45,2696
1624092496,19-06-2021 08:48,2700
1624092726,19-06-2021 08:52,2707
1624093251,19-06-2021 09:00,2671
1624093362,19-06-2021 09:02,2653
1624094103,19-06-2021 09:15,2621
1624094567,19-06-2021 09:22,2546
1624095029,19-06-2021 09:30,2632
1624095729,19-06-2021 09:42,2428
1624096241,19-06-2021 09:50,2360
1624096501,19-06-2021 09:55,2367
1624096671,19-06-2021 09:57,2360
1624097034,19-06-2021 10:03,2335
1624097994,19-06-2021 10:19,2314
1624098311,19-06-2021 10:25,2303
1624098417,19-06-2021 10:26,2317
1624098874,19-06-2021 10:34,2285
1624099478,19-06-2021 10:44,2317
1624100181,19-06-2021 10:56,2203
1624100750,19-06-2021 11:05,2257
1624101530,19-06-2021 11:18,2321
1624102349,19-06-2021 11:32,2332
1624103302,19-06-2021 11:48,2350
1624103559,19-06-2021 11:52,2325
1624104487,19-06-2021 12:08,2353
1624105089,19-06-2021 12:18,2367
1624105787,19-06-2021 12:29,2385
1624106386,19-06-2021 12:39,2435
1624106764,19-06-2021 12:46,2428
1624107322,19-06-2021 12:55,2428
1624107998,19-06-2021 13:06,2428
1624108677,19-06-2021 13:17,2450
1624109069,19-06-2021 13:24,2457
1624109468,19-06-2021 13:31,2471
1624109863,19-06-2021 13:37,2467
1624110268,19-06-2021 13:44,2457
1624110660,19-06-2021 13:51,2467
1624111096,19-06-2021 13:58,2489
1624111504,19-06-2021 14:05,2500
1624111872,19-06-2021 14:11,2503
1624112304,19-06-2021 14:18,2510
1624112657,19-06-2021 14:24,2517
1624113356,19-06-2021 14:35,2514
1624113765,19-06-2021 14:42,2517
1624114128,19-06-2021 14:48,2517
1624114529,19-06-2021 14:55,2507
1624114952,19-06-2021 15:02,2503
1624115270,19-06-2021 15:07,2517
1624115703,19-06-2021 15:15,2507
1624116098,19-06-2021 15:21,2517
1624116518,19-06-2021 15:28,2535
1624116897,19-06-2021 15:34,2496
1624116932,19-06-2021 15:35,2525
1624117217,19-06-2021 15:40,2500
1624117601,19-06-2021 15:46,2514
1624117970,19-06-2021 15:52,2514
1624118598,19-06-2021 16:03,2514
1624118911,19-06-2021 16:08,2517
1624119819,19-06-2021 16:23,2517
1624120204,19-06-2021 16:30,2546
1624120613,19-06-2021 16:36,2528
1624121035,19-06-2021 16:43,2514
1624121139,19-06-2021 16:45,2521
1624121365,19-06-2021 16:49,2496
1624121614,19-06-2021 16:53,2492
1624121801,19-06-2021 16:56,2460
1624122011,19-06-2021 17:00,2432
1624122177,19-06-2021 17:02,2385
1624122471,19-06-2021 17:07,2364
1624122813,19-06-2021 17:13,2346
1624123426,19-06-2021 17:23,2389
1624123880,19-06-2021 17:31,2425
1624124363,19-06-2021 17:39,2389
1624124849,19-06-2021 17:47,2414
1624125078,19-06-2021 17:51,2410
1624126073,19-06-2021 18:07,2414
1624126488,19-06-2021 18:14,2367
1624127436,19-06-2021 18:30,2382
1624127828,19-06-2021 18:37,2378
1624128343,19-06-2021 18:45,2400
1624128957,19-06-2021 18:55,2392
1624129959,19-06-2021 19:12,2396
1624130631,19-06-2021 19:23,2364
1624131128,19-06-2021 19:32,2392
1624131460,19-06-2021 19:37,2400
1624132197,19-06-2021 19:49,2421
1624133124,19-06-2021 20:05,2446
1624135763,19-06-2021 20:49,2464
1624136482,19-06-2021 21:01,2471
1624137214,19-06-2021 21:13,2471
1624138080,19-06-2021 21:28,2478
1624138111,19-06-2021 21:28,2478
1624138400,19-06-2021 21:33,2482
1624139124,19-06-2021 21:45,2475
1624139863,19-06-2021 21:57,2482
1624142381,19-06-2021 22:39,2485
1624145069,19-06-2021 23:24,2492
1624147477,20-06-2021 00:04,2489
1624150414,20-06-2021 00:53,2500
1624151082,20-06-2021 01:04,2514
1624151761,20-06-2021 01:16,2525
1624152191,20-06-2021 01:23,2500
1624155450,20-06-2021 02:17,2525
1624156090,20-06-2021 02:28,2528
1624156799,20-06-2021 02:39,2521
1624157369,20-06-2021 02:49,2503
1624160486,20-06-2021 03:41,2550
1624161169,20-06-2021 03:52,2528
1624161685,20-06-2021 04:01,2485
1624162465,20-06-2021 04:14,2400
1624164388,20-06-2021 04:46,2132
1624165001,20-06-2021 04:56,2046
1624165722,20-06-2021 05:08,1939
1624166377,20-06-2021 05:19,1839
1624166806,20-06-2021 05:26,1696
1624339205,22-06-2021 05:20,7067
1624339236,22-06-2021 05:20,6039
1624339267,22-06-2021 05:21,4760
1624339311,22-06-2021 05:21,4321
1624339401,22-06-2021 05:23,3571
1624339431,22-06-2021 05:23,3425
1624339462,22-06-2021 05:24,3328
1624339497,22-06-2021 05:24,3203
1624339729,22-06-2021 05:28,2757
1624339975,22-06-2021 05:32,2657
1624340253,22-06-2021 05:37,2639
1624340595,22-06-2021 05:43,2607
1624340945,22-06-2021 05:49,2614
1624341535,22-06-2021 05:58,2642
1624341766,22-06-2021 06:02,2657
1624342258,22-06-2021 06:10,2725
1624342626,22-06-2021 06:17,2753
1624343016,22-06-2021 06:23,2775
1624343355,22-06-2021 06:29,2789
1624343836,22-06-2021 06:37,2825
1624343867,22-06-2021 06:37,2832
1624343898,22-06-2021 06:38,2825
1624343997,22-06-2021 06:39,2832
1624344201,22-06-2021 06:43,2839
1624344614,22-06-2021 06:50,2853
1624344981,22-06-2021 06:56,2889
1624345388,22-06-2021 07:03,2889
1624345781,22-06-2021 07:09,2900
1624346114,22-06-2021 07:15,2717
1624346754,22-06-2021 07:25,2660
1624347377,22-06-2021 07:36,2692
1624347674,22-06-2021 07:41,2757
1624348156,22-06-2021 07:49,2753
1624348634,22-06-2021 07:57,2742
1624349090,22-06-2021 08:04,2732
1624349716,22-06-2021 08:15,2710
1624350125,22-06-2021 08:22,2689
1624350489,22-06-2021 08:28,2671
1624350892,22-06-2021 08:34,2653
