Epoch date,GMT,CO_mega
1624292561,21-06-2021 16:22,484
1624292593,21-06-2021 16:23,484
1624292623,21-06-2021 16:23,484
1624292654,21-06-2021 16:24,485
1624292686,21-06-2021 16:24,485
1624292717,21-06-2021 16:25,484
1624292747,21-06-2021 16:25,486
1624292778,21-06-2021 16:26,490
1624292809,21-06-2021 16:26,492
1624292857,21-06-2021 16:27,497
1624293214,21-06-2021 16:33,508
1624293558,21-06-2021 16:39,506
1624293956,21-06-2021 16:45,510
1624294345,21-06-2021 16:52,504
1624294748,21-06-2021 16:59,509
1624295116,21-06-2021 17:05,513
1624295514,21-06-2021 17:11,499
1624296326,21-06-2021 17:25,492
1624296671,21-06-2021 17:31,496
1624297046,21-06-2021 17:37,495
1624297418,21-06-2021 17:43,493
1624297776,21-06-2021 17:49,502
1624298140,21-06-2021 17:55,502
1624298290,21-06-2021 17:58,502
1624298663,21-06-2021 18:04,499
1624327658,22-06-2021 02:07,765
1624327707,22-06-2021 02:08,766
1624327753,22-06-2021 02:09,768
1624327808,22-06-2021 02:10,758
1624327864,22-06-2021 02:11,750
1624327927,22-06-2021 02:12,740
1624327982,22-06-2021 02:13,737
1624328045,22-06-2021 02:14,732
1624328104,22-06-2021 02:15,720
1624328155,22-06-2021 02:15,711
1624328213,22-06-2021 02:16,713
1624328265,22-06-2021 02:17,707
1624328324,22-06-2021 02:18,699
1624328382,22-06-2021 02:19,693
1624328437,22-06-2021 02:20,681
1624328496,22-06-2021 02:21,678
1624328546,22-06-2021 02:22,677
1624328605,22-06-2021 02:23,667
1624328666,22-06-2021 02:24,659
1624328726,22-06-2021 02:25,655
1624328774,22-06-2021 02:26,641
1624328832,22-06-2021 02:27,638
1624328893,22-06-2021 02:28,629
1624328957,22-06-2021 02:29,623
1624329012,22-06-2021 02:30,614
1624329073,22-06-2021 02:31,607
1624329130,22-06-2021 02:32,598
1624329191,22-06-2021 02:33,585
1624329250,22-06-2021 02:34,559
1624329313,22-06-2021 02:35,563
1624329368,22-06-2021 02:36,565
1624329432,22-06-2021 02:37,562
1624329488,22-06-2021 02:38,548
1624329546,22-06-2021 02:39,534
1624329608,22-06-2021 02:40,550
1624329666,22-06-2021 02:41,557
1624329720,22-06-2021 02:42,543
1624329775,22-06-2021 02:42,548
1624329835,22-06-2021 02:43,527
1624329894,22-06-2021 02:44,519
1624329949,22-06-2021 02:45,525
1624330010,22-06-2021 02:46,518
1624330070,22-06-2021 02:47,525
1624330190,22-06-2021 02:49,521
1624330248,22-06-2021 02:50,508
1624330308,22-06-2021 02:51,536
1624330365,22-06-2021 02:52,518
1624330428,22-06-2021 02:53,510
1624330489,22-06-2021 02:54,510
1624330541,22-06-2021 02:55,519
1624330592,22-06-2021 02:56,490
1624330650,22-06-2021 02:57,517
1624330708,22-06-2021 02:58,511
1624330768,22-06-2021 02:59,508
1624330828,22-06-2021 03:00,513
1624330888,22-06-2021 03:01,506
1624330942,22-06-2021 03:02,507
1624330997,22-06-2021 03:03,496
1624331056,22-06-2021 03:04,499
1624331121,22-06-2021 03:05,475
1624331174,22-06-2021 03:06,486
1624331234,22-06-2021 03:07,492
1624331421,22-06-2021 03:10,482
1624331825,22-06-2021 03:17,497
1624332206,22-06-2021 03:23,467
1624332619,22-06-2021 03:30,482
1624333038,22-06-2021 03:37,510
1624333397,22-06-2021 03:43,477
1624333805,22-06-2021 03:50,476
1624334183,22-06-2021 03:56,471
1624334314,22-06-2021 03:58,492
1624334345,22-06-2021 03:59,504
1624344282,22-06-2021 06:44,432
1624344313,22-06-2021 06:45,438
1624344372,22-06-2021 06:46,442
1624344434,22-06-2021 06:47,438
1624344494,22-06-2021 06:48,441
1624344553,22-06-2021 06:49,442
1624344613,22-06-2021 06:50,449
1624344670,22-06-2021 06:51,448
1624344733,22-06-2021 06:52,455
1624344793,22-06-2021 06:53,449
1624344840,22-06-2021 06:54,452
1624344871,22-06-2021 06:54,438
1624344902,22-06-2021 06:55,434
1624344932,22-06-2021 06:55,435
1624345034,22-06-2021 06:57,436
1624345065,22-06-2021 06:57,436
1624345065,22-06-2021 06:57,436
1624345096,22-06-2021 06:58,435
1624345146,22-06-2021 06:59,437
1624345185,22-06-2021 06:59,436
