,Date Time, Monitor ID, Location ID, SO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.location.lat,data.location.lon,data.location.acc,data.timestamp
142,2021-10-23 13:54:00,1,1,0.1,39.745,19.55,955.446,388.5,1962.0,1587.0,1048.5,83.0,-1662.0,0.0,90.0,17.357,78.455,2.25,1634977412509.0
143,2021-10-23 13:55:00,1,1,0.0,40.32,19.861,955.527,450.5,2180.0,1757.5,1109.0,132.5,-2641.5,0.0,90.0,17.358,78.455,1.9,1634977474324.0
144,2021-10-23 13:56:00,1,1,0.0,41.465,19.498,955.667,593.5,2685.0,2169.5,1251.0,128.0,-2553.5,0.0,90.0,17.359,78.455,1.7,1634977536433.5
145,2021-10-23 13:57:00,1,1,0.0,41.87,17.988,955.793,389.5,1898.0,1590.5,1030.0,46.0,-908.5,0.0,90.0,17.362,78.456,1.7,1634977598443.5
146,2021-10-23 13:58:00,1,1,0.0,41.58,18.14,955.783,469.0,2019.5,1814.5,1067.0,73.0,-1454.0,0.0,90.0,17.366,78.458,1.65,1634977660546.5
147,2021-10-23 13:59:00,1,1,0.1,41.33,18.33,955.847,502.0,2105.0,1907.0,1089.5,92.0,-1842.5,0.0,90.0,17.366,78.46,2.05,1634977722364.0
148,2021-10-23 14:00:00,1,1,0.1,41.12,18.609,955.894,503.5,2214.0,1909.5,1121.0,132.5,-2639.5,0.0,90.0,17.367,78.463,1.95,1634977784472.5
149,2021-10-23 14:01:00,1,1,0.2,41.08,20.099,956.008,498.0,2232.0,1902.0,1129.0,132.0,-2627.0,0.0,90.0,17.368,78.464,1.8,1634977830783.0
150,2021-10-23 14:02:00,1,1,0.0,41.085,18.844,955.999,461.5,2082.0,1795.0,1079.0,83.5,-1660.0,0.0,90.0,17.368,78.467,1.6,1634977877291.5
151,2021-10-23 14:03:00,1,1,0.0,41.28,18.609,955.909,585.5,2469.5,2139.5,1194.5,124.0,-2476.5,0.0,90.0,17.369,78.469,1.75,1634977939400.5
152,2021-10-23 14:04:00,1,1,0.1,41.49,19.036,956.097,477.5,2183.5,1840.0,1110.5,91.5,-1817.0,0.0,90.0,17.37,78.472,2.05,1634978001607.0
153,2021-10-23 14:05:00,1,1,0.2,41.535,19.319,956.087,455.5,2171.0,1779.0,1106.0,95.5,-1909.5,0.0,90.0,17.371,78.476,1.75,1634978063425.5
154,2021-10-23 14:06:00,1,1,0.3,41.35,19.017,955.935,468.5,2040.5,1809.5,1074.0,91.5,-1829.0,0.0,90.0,17.372,78.476,1.6,1634978125332.0
155,2021-10-23 14:07:00,1,1,0.3,41.33,18.811,955.702,417.5,1989.0,1669.5,1058.0,94.5,-1890.0,0.0,90.0,17.371,78.477,1.5,1634978187245.0
156,2021-10-23 14:08:00,1,1,0.2,41.48,19.905,955.786,493.0,2321.0,1878.0,1149.0,133.0,-2651.5,0.0,90.0,17.371,78.477,1.25,1634978249549.5
157,2021-10-23 14:09:00,1,1,0.3,41.9,20.247,955.775,568.5,2483.5,2088.5,1197.0,141.0,-2808.0,0.0,90.0,17.371,78.477,1.15,1634978311461.0
