time,created_at,latitude,longitude,altitude
2021-11-03 09:35:44,2021-11-03 15:05:44,17.46206276,78.36695987,510.025
2021-11-03 09:35:45,2021-11-03 15:05:45,17.46206397,78.36696103,510.222
2021-11-03 09:35:46,2021-11-03 15:05:46,17.4620643,78.36696135,510.227
2021-11-03 09:35:47,2021-11-03 15:05:47,17.46206526,78.36696237,510.41
2021-11-03 09:35:48,2021-11-03 15:05:48,17.46206556,78.36696266,510.41900000000004
2021-11-03 09:35:49,2021-11-03 15:05:49,17.46206565,78.36696278,510.43
2021-11-03 09:35:50,2021-11-03 15:05:50,17.4620658,78.36696298,510.467
2021-11-03 09:35:51,2021-11-03 15:05:51,17.46206622,78.36696319,510.54400000000004
2021-11-03 09:35:52,2021-11-03 15:05:52,17.46206667,78.36696359999999,510.62199999999996
2021-11-03 09:35:53,2021-11-03 15:05:53,17.46206699,78.36696371,510.671
2021-11-03 09:35:54,2021-11-03 15:05:54,17.46206799,78.36696463,510.865
2021-11-03 09:35:55,2021-11-03 15:05:55,17.46206847,78.36696507,510.915
2021-11-03 09:35:56,2021-11-03 15:05:56,17.46206887,78.36696545,510.98800000000006
2021-11-03 09:35:57,2021-11-03 15:05:57,17.46206897,78.36696553,510.999
2021-11-03 09:35:58,2021-11-03 15:05:58,17.46206899,78.36696556,511.01099999999997
2021-11-03 09:35:59,2021-11-03 15:05:59,17.46206902,78.36696556,511.02
2021-11-03 09:36:00,2021-11-03 15:06:00,17.46206906,78.3669656,511.037
2021-11-03 09:36:01,2021-11-03 15:06:01,17.46206926,78.36696576,511.07599999999996
2021-11-03 09:36:02,2021-11-03 15:06:02,17.46206972,78.36696608,511.171
2021-11-03 09:36:03,2021-11-03 15:06:03,17.46206996,78.36696628,511.20300000000003
2021-11-03 09:36:04,2021-11-03 15:06:04,17.46207001,78.36696631,511.214
2021-11-03 09:36:05,2021-11-03 15:06:05,17.46207004,78.36696636,511.218
2021-11-03 09:36:06,2021-11-03 15:06:06,17.46207005,78.36696637,511.224
2021-11-03 09:36:07,2021-11-03 15:06:07,17.46207003,78.36696634,511.22
2021-11-03 09:36:08,2021-11-03 15:06:08,17.46207008,78.36696639,511.24
2021-11-03 09:36:09,2021-11-03 15:06:09,17.46207007,78.36696640000001,511.236
2021-11-03 09:36:10,2021-11-03 15:06:10,17.46207018,78.3669665,511.269
2021-11-03 09:36:11,2021-11-03 15:06:11,17.46207021,78.36696655,511.27099999999996
2021-11-03 09:36:12,2021-11-03 15:06:12,17.4620703,78.36696666,511.29900000000004
2021-11-03 09:36:13,2021-11-03 15:06:13,17.46207031,78.3669667,511.29400000000004
2021-11-03 09:36:14,2021-11-03 15:06:14,17.46207031,78.36696672,511.292
2021-11-03 09:36:15,2021-11-03 15:06:15,17.4620703,78.36696672,511.29
2021-11-03 09:36:16,2021-11-03 15:06:16,17.4620703,78.36696674,511.286
2021-11-03 09:36:17,2021-11-03 15:06:17,17.4620703,78.36696675,511.282
2021-11-03 09:36:18,2021-11-03 15:06:18,17.4620703,78.36696674,511.284
2021-11-03 09:36:19,2021-11-03 15:06:19,17.46207034,78.36696677,511.296
2021-11-03 09:36:20,2021-11-03 15:06:20,17.46207039,78.36696681,511.3
2021-11-03 09:36:21,2021-11-03 15:06:21,17.462070399999998,78.3669668,511.30199999999996
2021-11-03 09:36:22,2021-11-03 15:06:22,17.462070399999998,78.36696679,511.30400000000003
2021-11-03 09:36:23,2021-11-03 15:06:23,17.46207038,78.36696677,511.306
2021-11-03 09:36:25,2021-11-03 15:06:25,17.46207032,78.36696677,511.296
2021-11-03 09:36:26,2021-11-03 15:06:26,17.46207026,78.36696675,511.29
2021-11-03 09:36:27,2021-11-03 15:06:27,17.46207023,78.36696675,511.283
2021-11-03 09:36:28,2021-11-03 15:06:28,17.46207021,78.36696672,511.277
2021-11-03 09:36:29,2021-11-03 15:06:29,17.4620702,78.36696672,511.276
2021-11-03 09:36:30,2021-11-03 15:06:30,17.4620702,78.36696671,511.275
2021-11-03 09:36:31,2021-11-03 15:06:31,17.46207017,78.36696669,511.26800000000003
2021-11-03 09:36:32,2021-11-03 15:06:32,17.46207015,78.36696667,511.269
2021-11-03 09:36:33,2021-11-03 15:06:33,17.46207015,78.36696664,511.269
2021-11-03 09:36:34,2021-11-03 15:06:34,17.46207014,78.36696664,511.265
2021-11-03 09:36:35,2021-11-03 15:06:35,17.46207014,78.36696662,511.264
2021-11-03 09:36:36,2021-11-03 15:06:36,17.46207016,78.36696662,511.256
2021-11-03 09:36:37,2021-11-03 15:06:37,17.46207017,78.36696662,511.25
