Epoch date,GMT,Temperature,Humidity,Pressure_hpa,CO_mega_ppb,CO_mega_ppm,NO2_mega_ppb,NO2_mega_ppm,Ozone_ppm,Latitude,Longitude
1627378806,27-07-2021 09:40,37.08000183,40.07400131,944.6436768,771,0.771,3085,3.085,83,17.43322,78.48720333
1627378837,27-07-2021 09:40,37.09000015,39.98799896,944.6484985,688,0.688,2907,2.907,69,17.43322,78.48720333
1627378869,27-07-2021 09:41,37.11999893,38.95600128,944.6868896,648,0.648,2700,2.7,67,17.43322,78.48720333
1627378899,27-07-2021 09:41,37.15999985,38.57799911,944.7301025,674,0.674,2653,2.653,81,17.43322,78.48720333
1627378899,27-07-2021 09:41,37.15999985,38.57799911,944.7301025,674,0.674,2653,2.653,81,17.43322,78.48720333
1627378931,27-07-2021 09:42,37.20000076,38.01599884,944.6799927,642,0.642,2635,2.635,70,17.43301167,78.48808833
1627378962,27-07-2021 09:42,37.18999863,37.20199966,944.8128052,638,0.638,2678,2.678,62,17.432115,78.48840833
1627378992,27-07-2021 09:43,37.11000061,35.47200012,944.7617188,550,0.55,2335,2.335,0,17.42959833,78.488125
1627378992,27-07-2021 09:43,37.11000061,35.47200012,944.7617188,550,0.55,2335,2.335,0,17.42959833,78.488125
1627379023,27-07-2021 09:43,37.15999985,36.65800095,944.9031982,634,0.634,2660,2.66,135,17.42901833,78.488015
1627379054,27-07-2021 09:44,37.29000092,36.65599823,944.864624,637,0.637,2589,2.589,37,17.428315,78.48774833
1627379085,27-07-2021 09:44,37.36000061,36.89599991,944.7310791,743,0.743,2925,2.925,39,17.42656333,78.48680667
1627379116,27-07-2021 09:45,37.36999893,37.14199829,944.7531738,773,0.773,2935,2.935,49,17.42456833,78.486125
1627379147,27-07-2021 09:45,37.29000092,36.77899933,944.7058716,581,0.581,2382,2.382,49,17.42169,78.484675
1627379178,27-07-2021 09:46,37.27000046,36.62900162,944.7368164,581,0.581,2367,2.367,152,17.42161667,78.484595
1627379209,27-07-2021 09:46,37.43999863,38.09700012,944.7559814,585,0.585,2510,2.51,152,17.42161667,78.484595
1627379240,27-07-2021 09:47,37.68999863,37.42699814,944.7717896,567,0.567,2425,2.425,82,17.42042833,78.48381667
1627379272,27-07-2021 09:47,37.75999832,34.99000168,944.0780029,560,0.56,2250,2.25,0,17.42042833,78.48381667
1627379302,27-07-2021 09:48,37.68000031,35.28099823,943.7106934,528,0.528,2221,2.221,79,17.41528333,78.479385
1627379333,27-07-2021 09:48,37.20999908,35.0359993,943.7938843,515,0.515,2078,2.078,19,17.41126667,78.47730167
1627379364,27-07-2021 09:49,36.70999908,35.5379982,944.2589722,509,0.509,2050,2.05,105,17.4099,78.476015
1627379396,27-07-2021 09:49,36.36999893,36.18999863,944.7426147,531,0.531,2121,2.121,128,17.40999833,78.47611333
1627379427,27-07-2021 09:50,36.18000031,36.94800186,944.5650024,589,0.589,2300,2.3,118,17.40999833,78.47611333
1627379458,27-07-2021 09:50,36.11999893,36.94300079,944.6309814,578,0.578,2239,2.239,87,17.409235,78.475595
1627379489,27-07-2021 09:51,36.18999863,36.82600021,944.6890259,701,0.701,2282,2.282,113,17.408335,78.47447333
1627379520,27-07-2021 09:52,36.33000183,36.52999878,944.7631836,728,0.728,2503,2.503,101,17.40841,78.47415
1627379551,27-07-2021 09:52,36.43999863,36.66199875,944.6477051,622,0.622,2171,2.171,96,17.40841,78.47415
1627379582,27-07-2021 09:53,36.47999954,37.10699844,944.6552734,728,0.728,2571,2.571,109,17.408,78.47327167
1627379613,27-07-2021 09:53,36.45000076,36.63899994,944.6600952,649,0.649,2503,2.503,50,17.407855,78.47166
1627379644,27-07-2021 09:54,36.43000031,36.4640007,944.5457764,604,0.604,2296,2.296,100,17.40768,78.46947
1627379676,27-07-2021 09:54,36.43000031,36.82099915,944.2263184,676,0.676,2553,2.553,88,17.40707833,78.46767167
1627379706,27-07-2021 09:55,36.45999908,36.72499847,944.2935181,689,0.689,2532,2.532,73,17.40653833,78.46549167
1627379736,27-07-2021 09:55,36.47999954,36.50600052,944.5479126,696,0.696,2660,2.66,94,17.40477333,78.464265
